Day,Month,Year,Value
19,November,2007,-0.340149
26,November,2007,-0.315557
02,December,2007,-0.240934
09,December,2007,-0.054947
16,December,2007,-0.364537
24,December,2007,-0.734717
31,December,2007,-0.920652
06,January,2008,-1.11552
13,January,2008,-0.782115
20,January,2008,-0.50868
28,January,2008,-0.219304
04,February,2008,-0.852221
11,February,2008,-1.345395
17,February,2008,-1.327981
24,February,2008,-1.291798
02,March,2008,-1.230514
10,March,2008,-1.359665
17,March,2008,-1.4667
24,March,2008,-1.912538
30,March,2008,-2.037418
06,April,2008,-1.700088
13,April,2008,-1.774266
21,April,2008,-1.70244
28,April,2008,-1.986819
05,May,2008,-1.165269
11,May,2008,-0.682819
18,May,2008,-0.443951
25,May,2008,0.021866
02,June,2008,0.600612
09,June,2008,0.743847
16,June,2008,0.812978
22,June,2008,0.732229
29,June,2008,0.788573
06,July,2008,0.717236
14,July,2008,0.825928
21,July,2008,0.511586
28,July,2008,0.344978
03,August,2008,-0.41467
10,August,2008,-0.357471
17,August,2008,-0.043184
25,August,2008,0.083993
01,September,2008,-0.244474
07,September,2008,-0.437141
14,September,2008,-0.539209
21,September,2008,-0.357933
29,September,2008,-0.192389
06,October,2008,0.02411
13,October,2008,-0.055845
19,October,2008,-0.373264
26,October,2008,-0.631678
02,November,2008,-0.467639
10,November,2008,-0.517116
17,November,2008,-0.631572
24,November,2008,-0.975286
30,November,2008,-0.872649
07,December,2008,-0.940932
14,December,2008,-0.89466
22,December,2008,-0.62658
29,December,2008,-0.479922
04,January,2009,-0.764631
12,January,2009,-0.399456
19,January,2009,-0.067865
26,January,2009,0.17669
01,February,2009,0.011913
08,February,2009,0.058359
16,February,2009,0.020363
23,February,2009,0.021726
02,March,2009,-0.009161
08,March,2009,-0.255069
15,March,2009,-0.358607
22,March,2009,-0.491835
30,March,2009,-0.530993
06,April,2009,0.027922
13,April,2009,-0.214785
19,April,2009,-0.664203
26,April,2009,-0.912796
03,May,2009,-0.343835
11,May,2009,-0.291812
18,May,2009,-0.240717
24,May,2009,-0.428169
31,May,2009,-0.352705
07,June,2009,-0.372812
15,June,2009,-0.255757
