Decimal Year,Value
2009.030137,-0.399456
2009.0493151,-0.067865
2009.0684932,0.17669
2009.0876712,0.011913
2009.1068493,0.058359
2009.1260274,0.020363
2009.1452055,0.021726
2009.1643836,-0.009161
2009.1835616,-0.255069
2009.2027397,-0.358607
2009.2219178,-0.491835
2009.2410959,-0.530993
2009.260274,0.027922
2009.2794521,-0.214785
2009.2986301,-0.664203
2009.3178082,-0.912796
2009.3369863,-0.343835
2009.3561644,-0.291812
2009.3753425,-0.240717
2009.3945205,-0.428169
2009.4136986,-0.352705
2009.4328767,-0.372812
2009.4520548,-0.255757
2009.4712329,-0.07266
2009.490411,0.149375
2009.509589,-0.127793
2009.5287671,0.006144
2009.5479452,0.242229
2009.5671233,0.42121
2009.5863014,-0.019647
2009.6054795,0.014468
2009.6246575,-0.23721
2009.6438356,-0.342227
2009.6630137,-0.302881
2009.6821918,-0.371401
2009.7013699,-0.260333
2009.7205479,-0.36373
2009.739726,-0.510504
2009.7589041,-0.296628
2009.7780822,-0.250983
2009.7972603,-0.23225
2009.8164384,-0.073477
2009.8356164,0.367729
2009.8547945,0.392767
2009.8739726,-0.0842
2009.8931507,-0.470846
2009.9123288,-0.635307
2009.9315068,-0.498563
2009.9506849,-0.2967
2009.969863,-0.056961
2009.9890411,0.061275
2010.0082192,-0.388848
2010.0273973,-0.515105
2010.0465753,-0.391772
2010.0657534,-0.113171
2010.0849315,-0.014519
2010.1041096,0.33819
2010.1232877,0.647365
2010.1424658,0.678463
2010.1616438,0.765147
2010.1808219,0.669896
2010.2,0.487105
2010.2191781,0.170553
2010.2383562,-0.024363
2010.2575342,0.276543
2010.2767123,0.107043
2010.2958904,-0.084025
2010.3150685,-0.177954
2010.3342466,0.456329
2010.3534247,0.293531
2010.3726027,-0.058332
2010.3917808,-0.313761
2010.4109589,-0.154065
2010.430137,0.213894
2010.4493151,0.403843
2010.4684932,0.523732
2010.4876712,0.708363
2010.5068493,0.213283
2010.5260274,0.024949
2010.5452055,0.009095
2010.5643836,0.056486
2010.5835616,-0.505657
2010.6027397,-0.56432
2010.6219178,-0.66613
2010.6410959,-0.930102
2010.660274,-1.157731
2010.6794521,-1.279349
2010.6986301,-1.211742
2010.7178082,-1.343755
2010.7369863,-1.57212
2010.7561644,-1.872977
2010.7753425,-2.088855
2010.7945205,-2.27512
2010.8136986,-2.22851
2010.8328767,-1.836741
2010.8520548,-1.984545
2010.8712329,-2.068461
2010.890411,-2.18311
2010.909589,-2.363107
2010.9287671,-2.555343
2010.9479452,-2.588832
2010.9671233,-2.623029
2010.9863014,-2.695843
2011.0054795,-3.182758
2011.0246575,-3.296357
2011.0438356,-3.169202
2011.0630137,-2.751856
2011.0821918,-2.278139
2011.1013699,-2.549751
2011.1205479,-2.434289
2011.139726,-2.259607
2011.1589041,-2.072744
2011.1780822,-1.951857
2011.1972603,-1.959994
2011.2164384,-2.138279
2011.2356164,-2.087916
2011.2547945,-1.605329
2011.2739726,-1.656143
2011.2931507,-1.528222
2011.3123288,-1.413778
2011.3315068,-1.099815
2011.3506849,-1.16818
2011.369863,-1.178422
2011.3890411,-0.978624
2011.4082192,-0.784895
2011.4273973,-0.534042
2011.4465753,-0.301019
2011.4657534,-0.046197
2011.4849315,0.062549
2011.5041096,-0.133001
2011.5232877,-0.315453
2011.5424658,-0.408296
2011.5616438,-0.17024
2011.5808219,-0.412096
2011.6,-0.071436
2011.6191781,0.0909
2011.6383562,0.269571
2011.6575342,0.436848
2011.6767123,0.481409
2011.6958904,0.592996
2011.7150685,0.560028
2011.7342466,0.518419
2011.7534247,0.605344
2011.7726027,0.360913
2011.7917808,0.418606
2011.8109589,0.496763
2011.830137,0.370838
2011.8493151,0.580446
2011.8684932,0.595429
2011.8876712,0.652231
2011.9068493,0.625567
2011.9260274,0.411713
2011.9452055,0.01843
2011.9643836,-0.161756
2011.9835616,-0.480282
2012.0027322,-1.1236
2012.0218579,-1.17553
2012.0409836,-1.031158
2012.0601093,-0.790055
2012.079235,-0.591419
2012.0983607,-0.81896
2012.1174863,-0.432319
2012.136612,-0.448393
2012.1557377,-0.533699
2012.1748634,-0.666421
2012.1939891,-1.050734
2012.2131148,-1.461676
2012.2322404,-1.572156
2012.2513661,-1.032092
2012.2704918,-0.926366
2012.2896175,-0.886145
2012.3087432,-0.935686
2012.3278689,-1.303517
2012.3469945,-0.787409
2012.3661202,-0.839181
2012.3852459,-0.80181
2012.4043716,-0.744104
2012.4234973,-0.720356
2012.442623,-0.696357
2012.4617486,-0.671224
2012.4808743,-0.414466
2012.5,-0.420817
2012.5191257,-0.226394
2012.5382514,-0.157646
2012.557377,-0.132794
2012.5765027,-0.041925
2012.5956284,-0.367035
2012.6147541,-0.075517
2012.6338798,0.185519
2012.6530055,0.22479
2012.6721311,0.136897
2012.6912568,0.132689
2012.7103825,0.124444
2012.7295082,0.178022
2012.7486339,0.250589
2012.7677596,0.101342
