Decimal Year,Value
2001.7863014,-0.253236
2001.8054795,-0.22383
2001.8246575,-0.223571
2001.8438356,-0.159361
2001.8630137,-0.222026
2001.8821918,-0.301851
2001.9013699,-0.34691
2001.9205479,-0.29633
2001.9589041,0.116498
2001.9780822,0.2062
2001.9972603,0.359475
2002.0164384,0.449134
2002.0356164,0.471394
2002.0547945,0.421535
2002.0739726,0.341387
2002.0931507,0.40588
2002.1123288,0.302532
2002.1315068,0.264487
2002.1506849,0.238499
2002.169863,0.419405
2002.1890411,0.327247
2002.2082192,0.262389
2002.2273973,0.215278
2002.2465753,0.230611
2002.2657534,0.216479
2002.2849315,0.19211
2002.3041096,0.185649
2002.3232877,0.1575
2002.3424658,0.059995
2002.3616438,0.08885
2002.3808219,0.149838
2002.4,0.297117
2002.4191781,0.240587
2002.4383562,0.229546
2002.4575342,0.193213
2002.4767123,0.179892
2002.4958904,0.033704
2002.5150685,0.197836
2002.5342466,0.394394
2002.5534247,0.610068
2002.5726027,0.733226
2002.5917808,0.650906
2002.6109589,0.726109
2002.630137,0.852627
2002.6493151,0.918869
2002.6684932,1.030229
2002.6876712,1.144688
2002.7068493,1.309509
2002.7260274,1.375346
2002.7452055,1.406449
2002.7643836,1.542756
2002.7835616,1.707804
2002.8027397,1.860126
2002.8219178,1.884794
2002.8410959,1.936842
2002.860274,1.836166
2002.8794521,1.72275
2002.8986301,1.703804
2002.9178082,1.634282
2002.9369863,1.709809
2002.9561644,1.723569
2002.9753425,1.606394
2002.9945205,1.438049
2003.0136986,1.338513
2003.0328767,1.264463
2003.0520548,1.163903
2003.0712329,1.171892
2003.090411,1.163522
2003.109589,1.07306
2003.1287671,1.007221
2003.1479452,0.870604
2003.1671233,0.925833
2003.1863014,0.860793
2003.2054795,0.689161
2003.2246575,0.526314
2003.2438356,0.398
2003.2630137,0.478941
2003.2821918,0.437646
2003.3013699,0.466736
2003.3205479,0.360894
2003.339726,0.279227
2003.3589041,0.182236
2003.3780822,0.080337
2003.3972603,0.17292
2003.4164384,0.098465
2003.4356164,0.284512
2003.4547945,0.43091
2003.4739726,0.496612
2003.4931507,0.510263
2003.5123288,0.383146
2003.5315068,0.409082
2003.5506849,0.413686
2003.569863,0.484937
2003.5890411,0.42954
2003.6082192,0.485847
2003.6273973,0.445263
2003.6465753,0.408909
2003.6657534,0.373947
2003.6849315,0.306558
2003.7041096,0.277986
2003.7232877,0.295972
2003.7424658,0.346617
2003.7616438,0.373785
